13,14,13 hears 14 shout,Interaction
13,145,"13 lives in fear of kids on the local estate, 145 is pitch a security camera upgrade for the estate",Incidental
14,25,14 fights with 25,Interaction
14,ftnt14,"14 lives in Hackney, which is described in ftnt14",Explanation
14,24,24 hears 14's threat,Interaction
21,151,21 slept homeless on the streets with 151,History
38,40,"38 hears 40 say ""This is unbearable! Can't you use a deodorant?""",Interaction
38,39,38 smells 39,Interaction
38,85,"38 thinking about non-existence of gay priest, 85 had sex with a priest",Incidental
38,94,94 played high school football in the jacket worn by 94,History
39,81,38 and 81 both work at Mosstains,Spatial
39,40,"39 is told ""This is unbearable! Can't you use a deodorant?"" by 40",Interaction
39,81,39 and 81 work at Mosstains,Spatial
39,123,39 and 123 work at Mosstains,Spatial
39,25,39 and 25 work at Mosstains,Spatial
40,38,"38 is thinking about the non-existence of gay priests, 40 is on her way to a briefing about gay priests",Shared thoughts
40,38,40 assumes 38 is gay,Interaction
40,ftnt40,"40 is going to Archibishop's Palace, footnote 40 is about Lambeth Palace",Explination
40,182,40 met and fell in love with the father of 182 in Queta in 1941,History
40,39,40 smells 39,Interaction
40,ftnt186b,40 supports Thatcher and footnote 186b is about Thatcher,Explination
40,143,"40 supports Thatcher, 143 is impressed by Thatcher's grooming",Shared thoughts
40,ad3,"40 supports Thatcher, personal ad 3 (Young 50) mentions Thatcher (as destroyer of country)",Incidental
40,186,"40 supports Thatcher, 186 is called Margaret Thatcher",Incidental
40,39,"40 tells 39 ""This is unbearable! Can't you use a deodorant?""",Interaction
40,94,Both 40 and 94 support Thatcher,Shared thoughts
41,68,41 frightens 68,Interaction
41,69,41 interests 69,Interaction
41,ftnt14,"41 used to work for Hackney Council, ftnt14 is about Hackney Council",Explination
41,62,Both 41 and 62 are going to the Multi-Use Resource Centre at Lambeth North,Spatial
42,215,42 impressed 215 at an earlier meeting,History
42,147,"42 was trying to negotiate sponsorship from Dun and Old, 147 works for Dun and Old",Incidental
42,ftnt29,"42 works at Florence Nightingale Museum, St Thomas' Hospital, ftnt20 is about St Thomas' Hospital",Explination
42,97,Both 42 and 97 are going to St Thomas' Hospital,Spatial
43,138,43 and 138 both work on Lower Marsh,Spatial
43,16,43 and 16 both work on Lower Marsh,Spatial
43,204,43 and 204 both work on Lower Marsh,Spatial
43,236,43 and 236 both work on Lower Marsh,Spatial
43,67,43 and 67 both work on Lower Marsh,Spatial
43,190,"43 played rugby, 190 works with a rugby player",Incidental
43,201,"43 played rugby, 201 plays rugby",Shared thoughts
43,39,43 smells 39,Interaction
43,12,"43 works on Lower Marsh, 12 wants to buy a Health Centre on Lower Marsh",Spatial
43,28,Both 43 and 28 work on Lower Marsh,Spatial
44,108,44 and 108 both work for the Metropolitan police,Spatial
44,119,44 and 119 are lovers ,History
44,119,44 and 119 both work for the Metropolitan Police,Spatial
44,66,44 and 66 are sitting across from each other,Spatial
44,66,44 notices 66's stockings,Interaction
44,108,Both work for the Police,Spatial
44,119,Both work for the Police,Spatial
44,119,119 is having an affair with 44,History
44,193,"44 works for the police, 193 is a policeman's daughter",Incidental
45,83,45 and 83 work at the London Emergency Service,Spatial
45,ftnt45,45 and 83 work at the London Emergency Service,Spatial
46,47,46 hits 47 with a bundle of books,Interaction
46,120,"46 runs  bookstall in front of the National Theatre, where 120 works",Spatial
46,ftnt46,46 runs a bookstall under the arches of Waterloo Bridge near Southbank,Spatial
47,249,"47 runs a ""black themed"" stall near 249, who runs a party novelty stall",Spatial
47,ftnt47,47 runs a stall by the Elephant and Castle Shopping Center,Explination
47,204,the stall by 47 is supplied with CDs from 204,History
48,115,48 and 115 both work at the South Bank Technology Park,Spatial
48,ftnt48,"48 works for the South Bank Technology Park, ftnt48 is about the South Bank Technology Park",Explination
48,63,48 saw 63 commit a burglary at ftnt48,History
49,163,49 and 163 are both reading The Independent,Shared thoughts
49,ftnt67,49 is reading about Parkhurst Prison,Explination
49,ftnt179,49 knows someone who is planning to visit Oregon,Explination
49,179,"49 knows someone who is planning to visit Oregon, and 179 has visited Oregon",Incidental
49,ftnt49,49 manages the Waterloo Spare Parts,Explination
50,13,"50 works at the fetish shop, 13 is scared of their customers",Incidental
51,215,"51's son, Imran, runs a newsagents, which is insured by the company that passenger 215 works for.",Incidental
52,207,52 is a friend of 207,Relationship
