"property","module","object restriction","subject restriction","min","max"
"name","http://xmlns.com/foaf/0.1/","ome:Being",*,1,"m"
"label","http://www.w3.org/2000/01/rdf-schema#",,*,1,1
"comment","http://www.w3.org/2000/01/rdf-schema#",,,1,1
"involved-in","http://purl.org/ontomedia/core/expression#",,"ome:Event",0,"m"
"involves","http://purl.org/ontomedia/core/expression#","ome:Event",,0,"m"
"type","http://www.w3.org/1999/02/22-rdf-syntax-ns#",,,1,"m"
"is","http://purl.org/ontomedia/core/expression#",,,0,"m"
"is-shadow-of","http://purl.org/ontomedia/core/expression#",,,0,"m"
"is-located-in","http://signage.ecs.soton.ac.uk/ontologies/location#",,"loc:Space",0,1
"is-part-of","http://signage.ecs.soton.ac.uk/ontologies/location#","loc:Space","loc:Space",0,"m"
"adjacent-to","http://signage.ecs.soton.ac.uk/ontologies/location#","loc:Space","loc:Space",0,"m"
"from","http://purl.org/ontomedia/core/expression#","omj:Travel","loc:Space",0,1
"to","http://purl.org/ontomedia/core/expression#","omj:Travel","loc:Space",0,1
"has-subject-entity","http://purl.org/ontomedia/core/expression#","ome:Event",,1,1
"has-object-entity","http://purl.org/ontomedia/core/expression#","ome:Event",,1,1
"refers-to","http://purl.org/ontomedia/core/expression#","ome:Event",,0,"m"
"precedes","http://purl.org/ontomedia/core/expression#","ome:Event","ome:Event",1,1
"follows","http://purl.org/ontomedia/core/expression#","ome:Event","ome:Event",1,1
