"Type","Value","Display"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Open-Space","General: Open Area"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Enclosed-Space","General: Enclosed Area"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Building","Urban: Building"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Floor","Building: Floor"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Room","Building: Room"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Office","Building: Office"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Laboratory","Building: Laboratory"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Meeting-Room","Building: Meeting Room"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Corridor","Building: Corridor"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Stairs","Building: Stairs"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Lift","Building: Lift"
"http://purl.org/ontomedia/core/space#Space","http://signage.ecs.soton.ac.uk/ontologies/location#Partitioned-Space","Building: Partitioned Area"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Space","General: Space/Generic Area"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Vessel","Vehicle: Vessel"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Portal","Building: Portal"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Container","General: Container"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Region","General: Region"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#World","General: World"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Orbit","General: Orbit"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Galaxy","General: Galaxy"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Universe","General: Universe"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Urban-Area","Urban: Urban Area"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Village","Urban: Village"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#City","Urban: City"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Metropolis","Urban: Metropolis"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Quay","Urban: Quay"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Town","Urban: Town"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Port","Urban: Port"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Capital","Urban: Capital"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Continent","General: Continent"
"http://purl.org/ontomedia/core/space#Space","http://purl.org/ontomedia/core/space#Country","General: Country"
