13,14,13 hears 14 shout
13,145,"13 lives in fear of kids on the local estate, 145 is pitch a security camera upgrade for the estate"
14,25,14 fights with 25
14,ftnt14,"14 lives in Hackney, which is described in ftnt14"
14,24,24 hears 14's threat
21,151,21 slept homeless on the streets with 151
38,40,"38 hears 40 say ""This is unbearable! Can't you use a deodorant?"""
38,39,38 smells 39
38,85,"38 thinking about non-existence of gay priest, 85 had sex with a priest"
38,94,94 played high school football in the jacket worn by 94
39,81,38 and 81 both work at Mosstains
39,40,"39 is told ""This is unbearable! Can't you use a deodorant?"" by 40"
39,81,39 and 81 work at Mosstains
39,123,39 and 123 work at Mosstains
39,25,39 and 25 work at Mosstains
40,38,"38 is thinking about the non-existence of gay priests, 40 is on her way to a briefing about gay priests"
40,38,40 assumes 38 is gay
40,ftnt40,"40 is going to Archibishop's Palace, footnote 40 is about Lambeth Palace"
40,182,40 met and fell in love with the father of 182 in Queta in 1941
40,39,40 smells 39
40,ftnt186b,40 supports Thatcher and footnote 186b is about Thatcher
40,143,"40 supports Thatcher, 143 is impressed by Thatcher's grooming"
40,ad3,"40 supports Thatcher, personal ad 3 (Young 50) mentions Thatcher (as destroyer of country)"
40,39,"40 tells 39 ""This is unbearable! Can't you use a deodorant?"""
40,94,Both 40 and 94 support Thatcher
41,68,41 frightens 68
41,69,41 interests 69
41,ftnt14,"41 used to work for Hackney Council, ftnt14 is about Hackney Council"
41,62,Both 41 and 62 are going to the Multi-Use Resource Centre at Lambeth North
42,215,42 impressed 215 at an earlier meeting
42,147,"42 was trying to negotiate sponsorship from Dun and Old, 147 works for Dun and Old"
42,ftnt29,"42 works at Florence Nightingale Museum, St Thomas' Hospital, ftnt20 is about St Thomas' Hospital"
42,97,Both 42 and 97 are going to St Thomas' Hospital
43,138,43 and 138 both work on Lower Marsh
43,16,43 and 16 both work on Lower Marsh
43,204,43 and 204 both work on Lower Marsh
43,236,43 and 236 both work on Lower Marsh
43,67,43 and 67 both work on Lower Marsh
43,190,"43 played rugby, 190 works with a rugby player"
43,201,"43 played rugby, 201 plays rugby"
43,39,43 smells 39
43,12,"43 works on Lower Marsh, 12 wants to buy a Health Centre on Lower Marsh"
43,28,Both 43 and 28 work on Lower Marsh
44,108,44 and 108 both work for the Metropolitan police
44,119,44 and 119 are lovers 
44,119,44 and 119 both work for the Metropolitan Police
44,66,44 and 66 are sitting across from each other
44,66,44 notices 66's stockings
44,108,Both work for the Police
44,119,"Both work for the Police, 119 is having an affair with 44"
44,193,"44 works for the police, 193 is a policeman's daughter"
45,83,45 and 83 work at the London Emergency Service
45,ftnt45,45 and 83 work at the London Emergency Service
46,47,46 hits 47 with a bundle of books
46,120,"46 runs  bookstall in front of the National Theatre, where 120 works"
